Estate_Name,District_Name,Region_Name,Map_Latitude,Map_Longitude,Type_of_Estate,Year_of_Intake,Type_of_Block,No_of_Blocks,Name_of_Block,No_of_Rental_Flats,Flat_Size_m2,Estate_Management_Advisory_Committee_EMAC,District_Tenancy_Management_Office_Estate_Office,Property_Management,Carpark_Management,Estate_Website,Further_Information,Estate_Name match,No. of PRH Flats,Authorized Population,Households
Fuk Loi Estate,Tsuen Wan,New Territories,22.37442,114.11204,Public Rental Housing,1963,Old Slab,9,Wing Cheung House Wing Hong House Wing Hing House Wing Tai House Wing Ka House Wing Lok House Wing Ning House Wing Ting House Wing Lung House,3 100 As at 30.6.2025,24.0 - 45.4,Formed,Fuk Loi Estate Office  No. 4-8  G/F.  Wing Hong House  Fuk Loi Estate  55 Hoi Pa Street  Tsuen Wan  Telephone: 2490 7834  Fax: 2415 3834,Fuk Loi Estate Office  No. 4-8  G/F.  Wing Hong House  Fuk Loi Estate  55 Hoi Pa Street  Tsuen Wan  Telephone: 2490 7834  Fax: 2415 3834,Amano Parking Service Limited  Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon  Telephone: 2570 5690  Fax:  2555 7911  Email: info@amano.com.hk.,-,<a href= /en/common/pdf/global-elements/estate-locator/FukLoiEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Fuk Loi,3100,7100,3100
Wu King Estate,Tuen Mun,New Territories,22.37652,113.96507,Public Rental Housing,1982,Twin Tower,6,Wu Boon House Wu Fai House Wu Kwong House Wu Pik House Wu Tsui House Wu Yuet House,4 400 As at 30.6.2025,33.2 - 40.0,Formed,Wu King Estate Office G/F  Wu Yuet House  Wu King Estate  Tuen Mun Telephone: 2465 0621 Fax: 2464 7559,Wu King Estate Office G/F  Wu Yuet House  Wu King Estate  Tuen Mun Telephone: 2465 0621 Fax: 2464 7559,Yue Xiu APT Parking Ltd 28/F  Seabright Plaza  9-23 Shell St  North Point Telephone: 2512 9611 Fax: 2512 9617 E-mail: yxaptsunny@biznetvigator.com,-,<a href= /en/common/pdf/global-elements/estate-locator/WuKingEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Wu King,4400,12300,4300
Lam Tin Estate,Kwun Tong,Kowloon,22.31041,114.23588,Public Rental Housing,2009,Non-standard,4,Lam Fai House Lam Tai House Lam Bik House Lam Wai House,3 000 As at 30.6.2025,17.97 - 38.05,Formed,Housing Department Lam Tin Estate Office G/F  Lam Tai House  Lam Tin Estate  Lam Tin  Kowloon Telephone: 2769 8187 Fax: 2480 6270,Housing Department Lam Tin Estate Office G/F  Lam Tai House  Lam Tin Estate  Lam Tin  Kowloon Telephone: 2769 8187 Fax: 2480 6270,Housing Department Lam Tin Estate Office G/F  Lam Tai House  Lam Tin Estate  Lam Tin  Kowloon Telephone: 2769 8187 Fax: 2480 6270,-,<a href= /en/common/pdf/global-elements/estate-locator/LamTinEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Lam Tin,3000,7300,3000
Mei Tung Estate,Wong Tai Sin,Kowloon,22.33314,114.19014,Public Rental Housing,2010  2014,Non-standard,2,Mei Yan House Mei Tak House,1 800 As at 30.6.2025,14.4 - 39.7,Formed,Mei Tung Estate Office 3/F. Mei Tak House  Mei Tung Estate 23 Pui Man Street  Wong Tai Sin  Kowloon Telephone: 2338 0521 Fax: 2338 2953,Mei Tung Estate Office 3/F. Mei Tak House  Mei Tung Estate 23 Pui Man Street  Wong Tai Sin  Kowloon Telephone: 2338 0521 Fax: 2338 2953,Amano Parking Service Limited  Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon  Telephone: 2570 5690  Fax:  2555 7911  Email: info@amano.com.hk.,-,<a href= /en/common/pdf/global-elements/estate-locator/MeiTungEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities (Mei Yan House and Mei Tak House)</a>,Mei Tung,1800,4200,1800
Hing Wah (1) Estate,Eastern,Hong Kong Island,22.26217,114.23554,Public Rental Housing,1999,Harmony 1,3,Cheuk Wah House Hing Tsui House May Wah House,2 300 As at 30.6.2025,16.3 - 49.0,Formed,Hong Kong District Tenancy Management Office   Yue Wan Sub Office No. 9-20  G/F.  Yue Tai House  Yue Wan Estate  Hong Kong.  Tel : 2897 7479 Fax : 2515 1985,Creative Property Services Consultants Ltd. G/F  Hing Tsui House  Hing Wah (1) Estate  Chai Wan Telephone: 2505 4228 Fax: 2505 7243 Web Site: www.cpsc.hk,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/HingWah1Estate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities </a>,Hing Wah (I),2300,6100,2200
Cheung Kwai Estate,Islands,New Territories,22.21394,114.02526,Public Rental Housing,1984,Non-standard,18,Cheung Chi House Cheung Fung House Cheung Foon House Cheung Fat House Cheung Fu House Cheung Hing House Cheung King House Cheung Kwong House Cheung Lok House Cheung Nga House Cheung Shing House Cheung Shun House Cheung Tak House Cheung Wing House Cheung Wah House Cheung Wong House Cheung Yick House Cheung Yu House,500 As at 30.6.2025,23.4 - 42.5,Formed,Islands District Tenancy Management Office G/F.  Mun Shun House  Mun Tung Estate   Tung Chung  Lantau Island  Hong Kong Telephone : 2320 5099 Fax: 2320 5018,Creative Property Services Consultants Ltd. Flat 101-102  Cheung Wong House  Cheung Kwai Estate  Cheung Chau  Telephone: 2981 4658  Fax: 2986 8054,-,-,<a href= /en/common/pdf/global-elements/estate-locator/CheungKwaiEstate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities </a>,Cheung Kwai,500,1200,400
Hing Wah (2) Estate,Eastern,Hong Kong Island,22.26236,114.23359,Public Rental Housing,1976,Old Slab,7,Chin Hing House Fung Hing House Lok Hing House Ning Hing House On Hing House Wo Hing House Yu Hing House,3 600 As at 30.6.2025,22.7 - 42.2,Formed,Hing Wah (2) Estate Offcie Room 701-710  On Hing House  Hing Wah (II) Estate  Chai Wan  Hong Kong Telephone: 2557 0115  (24-Hr Telephone: 2904 5165) Fax: 2515 1975,Hing Wah (2) Estate Offcie Room 701-710  On Hing House  Hing Wah (II) Estate  Chai Wan  Hong Kong Telephone: 2557 0115  (24-Hr Telephone: 2904 5165) Fax: 2515 1975,Yue Xiu Apt Parking Limited  Room 02  21/F.  Sup Tower  75-83 King's Road  North Point  Hong Kong Tel: (852) 3598 9295 Fax: (852) 2523 7892,-,<a href= /en/common/pdf/global-elements/estate-locator/HingWahIIEstate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities </a>,Hing Wah (II),3600,7700,3400
Hong Tung Estate,Eastern,Hong Kong Island,22.28436,114.22232,Public Rental Housing,1998,Small Household Block,1,Hong Shui House,500 As at 30.6.2025,17.6 - 49.8,Not Yet Formed,Hong Kong District Tenancy Management Office Oi Tung Sub Office 6/F.  Oi Sin House   Oi Tung Estate   Shaukeiwan  Hong Kong Tel : 3160 4291 Fax : 3160 4290,Creative Property Services Consultants Ltd. G/F  Hong Shui House  Hong Tung Estate  Shau Kei Wan Telephone: 2513 1778 Fax: 2513 1271 Web Site: www.cpsc.hk,Creative Property Services Consultants Ltd. G/F  Hong Shui House  Hong Tung Estate  Shau Kei Wan Telephone: 2513 1778 Fax: 2513 1271 Web Site: www.cpsc.hk,-,<a href= /en/common/pdf/global-elements/estate-locator/HongTungEstate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities </a>,Hong Tung,500,800,500
Model Housing Estate,Eastern,Hong Kong Island,22.29103,114.20824,Public Rental Housing,1954,Non-standard  Old Slab,6,Block A (Man Shun House) Block B (Man King House)  Block C (Man Hong House) Block C2 (Man Hong House) Block D (Man Ning House) Block E (Man Cheung House) Block F (Man Lok House) Remarks: Block C and C2 belong to same block (Man Hong House).,700 As at 30.6.2025,13.8 - 62.4,Formed,Model Housing Estate Office G/F.  Block C  Model Housing Estate  770 King's Road  North Point   Hong Kong .   Tel : 2562 4255  Fax : 2562 9409,Model Housing Estate Office G/F  Block C  Model Housing Estate  770 King's Road  North Point  Hong Kong. Tel: 2562 4255 Fax: 2562 9409,Yue Xiu APT Parking Limited 27/F.  Seabright Plaza  9-23 Shell Street   North Point  Hong Kong Telephone: 2512 9611 Fax: 2512 9617 Website: http://yuexiuaptparking.com.hk/,-,<a href= /en/common/pdf/global-elements/estate-locator/ModelHousingEstate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities </a>,Model Housing,700,2100,600
Oi Tung Estate,Eastern,Hong Kong Island,22.28173,114.22737,Public Rental Housing,2001,Harmony 1  Small Household Block  Non Standard,6,Oi Chak House Oi Ping House Oi Sin House Oi Yuk House Oi Po House Oi Yat House,3 900 As at 30.6.2025,16.3 - 43.3,Formed,Hong Kong District Tenancy Management Office Oi Tung Sub Office 6/F.  Oi Sin House   Oi Tung Estate   Shaukeiwan  Hong Kong Telephone: 3160 4291 Fax: 3160 4290,Modern Living Property Management Ltd. G/F  Oi Yat House  Oi Tung Estate  Shau Kei Wan Telephone: 2513 1843 Fax: 2513 1242,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/OiTungEstate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities </a>,Oi Tung,3900,8500,3900
Siu Sai Wan Estate,Eastern,Hong Kong Island,22.26133,114.24849,Public Rental Housing,1990,Harmony 1  Linear 1  Trident 4,12,Sui Hei House Sui Keung House Sui Lok House Sui Moon House Sui Shing House Sui Tai House Sui Yick House Sui Fuk House Sui Fat House Sui Fu House Sui Lung House Sui Ming House,6 100 As at 30.6.2025,11.3 - 50.5,Formed,Hong Kong District Tenancy Management Office   Yue Wan Sub Office No. 9-20  G/F.  Yue Tai House  Yue Wan Estate  Hong Kong.  Tel : 2897 7479 Fax : 2515 1985,Kai Fu Property Services Company Limited Unit 10  G/F  Sui Lung House  Siu Sai Wan Estate  Chai Wan Telephone: 2557 7301  (24-Hr Telephone 2557 1951) Fax: 2505 2143,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/SiuSaiWanEstate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities </a>,Siu Sai Wan,6100,17600,6000
Tsui Lok Estate,Eastern,Hong Kong Island,22.26748,114.24037,Public Rental Housing,1999,Small Household Block,1,Tsui Luk House,300 As at 30.6.2025,22.9 - 60.1,Not Yet Formed,Wan Tsui Estate Office  G/F  Wai Tsui House   Wan Tsui Estate   3 Tsui King Street  Chai Wan  Hong Kong. Tel : 2558 0180 Fax : 2505 2147,Creative Property Services Consultants Ltd. G/F  Tsui Luk House  Tsui Lok Estate  Chai Wan Telephone: 2505 1454 Fax: 2505 1324 Web Site: www.cpsc.hk,Creative Property Services Consultants Ltd. G/F  Tsui Luk House  Tsui Lok Estate  Chai Wan Telephone: 2505 1454 Fax: 2505 1324 Web Site: www.cpsc.hk,-,<a href= /en/common/pdf/global-elements/estate-locator/TsuiLokEstate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities </a>,Tsui Lok,300,700,300
Tsui Wan Estate,Eastern,Hong Kong Island,22.26825,114.24061,Tenants Purchase Scheme,1988,Trident 4,4,Tsui Fuk House Tsui Hong House Tsui Ning House Tsui Shou House,300 * As at 30.6.2025,Gross Floor Areas (sqm):25.3 - 72.9; Saleable Areas (sqm):19.3 - 55.6,Not applicable (Owners' Corporation Formed),Hong Kong District Tenancy Management Office   Yue Wan Sub Office No. 9-20  G/F.  Yue Tai House  Yue Wan Estate  Hong Kong.  Tel : 2897 7479 Fax : 2515 1985   Tsui Wan Estate Tenants Service Management Office Kai Fu Property Services Company Limited G/F.  Tsui Fuk House  Tsui Wan Estate  Chai Wan  Hong Kong Tel : 2505 0200 Fax : 2505 3411,Appointed by Owners' Corporation,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only.,Tsui Wan,300,700,300
Wan Tsui Estate,Eastern,Hong Kong Island,22.26278,114.2392,Public Rental Housing,1979,Double H  Old Slab  Single H  Small Household Block,11,Yat Tsui House Chak Tsui House Fook Tsui House Hei Tsui House Kwai Tsui House Lee Tsui House Mei Tsui House Shing Tsui House Fu Tsui House Wai Tsui House Yee Tsui House,3 700 As at 30.6.2025,22.5 - 58.1,Formed,Wan Tsui Estate Office  G/F  Wai Tsui House   Wan Tsui Estate   3 Tsui King Street  Chai Wan  Hong Kong. Tel : 2558 0180 (24-Hr Telephone : 2556 7250) Fax : 2505 2147,Wan Tsui Estate Office  (excluding Yat Tsui House) G/F  Wai Tsui House   Wan Tsui Estate  3 Tsui King Street  Chai Wan  Hong Kong Telephone: 2558 0180 (24-Hr Telephone: 2556 7250) Fax: 2505 2147  Creative Property Services Consultants Ltd. (Yat Tsui House Only) G/F  Yat Tsui House   Wan Tsui Estate   Chai Wan  Hong Kong Telephone: 2505 3841 Fax: 2505 3233,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/WanTsuiEstate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities </a>,Wan Tsui,3700,9300,3600
Yiu Tung Estate,Eastern,Hong Kong Island,22.27812,114.2252,Public Rental Housing,1994,Harmony 1  Harmony 3A  Harmony 3B  Harmony 3C,11,Yiu Cheong House Yiu Hing House Yiu Kwai House Yiu Lok House Yiu Ming House Yiu On House Yiu Wah House Yiu Fai House Yiu Fung House Yiu Fook House Yiu Fu House,5 200 As at 30.6.2025,11.8 - 52.3,Formed,Yiu Tung Estate Office Unit 8  G/F. Yiu Fung House   Yiu Tung Estate  Shau Kei Wan  Hong Kong Tel : 2539 8336 Fax : 2539 0040,Yiu Tung Estate Office Unit 8  G/F  Yiu Fung House   Yiu Tung Estate  Shau Kei Wan  Hong Kong Tel: 2539 8336  Fax: 2539 0040,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/YiuTungEstate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities </a>,Yiu Tung,5200,14000,5100
Sun Chui Estate,Sha Tin,New Territories,22.36916,114.18233,Public Rental Housing,1983,Double H  Old Slab  Twin Tower,8,Sun Chun House Sun Fong House Sun Hok House Sun Kit House Sun Ming House Sun Wai House Sun Yee House Sun Yuet House,6 600 As at 30.6.2025,10.9 - 62.5,Formed,Sun Chui Estate Office Units 1-17  G/F  Sun Hok House  Sun Chui Estate  Shatin Telephone :  2698 8988 Fax  :  2604 6412,Sun Chui Estate Office Units 1-17  G/F  Sun Hok House  Sun Chui Estate  Shatin Telephone :  2698 8988 Fax  :  2604 6412,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/SunChuiEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Sun Chui,6600,16100,6600
Sun Tin Wai Estate,Sha Tin,New Territories,22.37049,114.18734,Public Rental Housing,1981,Cruciform  Old Slab  Single I,8,Fook Wai House Foo Wai House Fung Wai House Hong Wai House Shing Wai House Wing Wai House Yan Wai House Yu Wai House,3 400 As at 30.6.2025,10.3 - 45.5,Formed,Tai Po  North & Shatin District Tenancy Management Office (2) Market Podium  Pok Hong Estate  Shatin Telephone : 2648 1312 Fax : 2649 1648,Creative Property Services Consultants Ltd. G/F  Fung Wai House  Sun Tin Wai Estate  Shatin Telephone :  2604 6363 Fax  :  2699 6308,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/suntinwaiestate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities</a>,Sun Tin Wai,3400,8600,3400
Po Tin Estate,Tuen Mun,New Territories,22.41024,113.96667,Public Rental Housing / Interim Housing,2000,Interim Housing,9,Block 1   Block 2 Block 3 Block 4 Block 5 Block 6 Block 7 Block 8 Block 9,4 300 As at 30.6.2025,8.2 - 28.3,Not Yet Formed,Tuen Mun North District Tenancy Management Office 5/F.  Ancillary Facilities Block  Fu Tai Estate  Tuen Mun Telephone: 2644 0201 Fax: 2465 0561,China Overseas Property Services Limited G/F  Block 6  Po Tin Estate  Tuen Mun Telephone: 2462 2430 Fax: 2466 8344,Owned and operated by private corporation,-,* Includes flats/ households / authorized population under Public Rental Housing only  <a href= /en/common/pdf/global-elements/estate-locator/PoTinEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Po Tin,4300,6000,4000
Wo Che Estate,Sha Tin,New Territories,22.388493,114.19636,Public Rental Housing,1977,Double H  Old Slab  Single H  Twin Tower  New Cruciform,13,Hau Wo House Chi Wo House Fung Wo House Hong Wo House Tak Wo House Mei Wo House Man Wo House Foo Wo House Hip Wo House Shun Wo House Tai Wo House Yan Wo House King Wo House,6 300 As at 30.6.2025,27.1 - 58.2,Formed,Wo Che Estate Office 417 - 424  Chi Wo House  Wo Che Estate  Shatin  Telephone :  2697 6183 Fax  :  2609 1541,Wo Che Estate Office 417 - 424  Chi Wo House  Wo Che Estate  Shatin  Telephone :  2697 6183 Fax  :  2609 1541,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/WoCheEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Wo Che,6300,17900,6200
Sam Shing Estate,Tuen Mun,New Territories,22.38107,113.97811,Public Rental Housing,1980,Double H  Old Slab,3,Chun Yu House Fung Yu House Moon Yu House,1 800 As at 30.6.2025,28.6 - 54.8,Formed,Sam Shing Estate Office 1/F  Fung Yu House  Sam Shing Estate  Tuen Mun Telephone: 2458 6255 Fax: 2458 6620,Sam Shing Estate Office 1/F  Fung Yu House  Sam Shing Estate  Tuen Mun Telephone: 2458 6255 Fax: 2458 6620,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/SamShingEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Sam Shing,1800,4600,1800
Yiu On Estate,Sha Tin,New Territories,22.41887,114.23029,Tenants Purchase Scheme,1988,New Slab  Trident 3  Trident 4,7,Yiu Chung House Yiu Him House Yiu Ping House Yiu Shun House Yiu Wing House Yiu Yan House Yiu Wo House,500 * As at 30.6.2025,Gross Floor Areas (sqm):15.9 - 72.3; Saleable Areas (sqm):11.8 - 55.6,Not applicable (Owners' Corporation Formed),Tai Po  North & Shatin District Tenancy Management Office (11) G/F  Skylark House  Sha Kok Estate  Shatin Telephone :  2697 7208 Fax  :  2797 0908  Yiu On Estate Tenants Service Management Office Kai Fu Property Services Company Ltd. Room 227  Yiu Wo House  Yiu On Estate  Ma On Shan  Shatin  N.T. Telephone :  2640 3113 Fax  :  2640 3010,Appointed by Owners' Corporation,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only,Yiu On,500,1200,500
Wing Cheong Estate,Sham Shui Po,Kowloon,22.32916,114.15537,Public Rental Housing,2013,Non-standard,2,Wing Chun House Wing Kit House,1 500 As at 30.6.2025,14.5-41.63,Formed,Kowloon West & Sai Kung District Tenancy Management Office(5) 1/F  Hong Ching House  Kai Ching Estate  Kowloon Telephone: 2382 3151 Fax: 2716 7199,Good Excel Property Consultants Ltd. G/F.  Wing Chun House  Wing Cheong Estate  Sham Shui Po  Kowloon Telephone: 2323 0680 Fax: 2323 8480,Good Excel Property Consultants Ltd. G/F.  Wing Chun House  Wing Cheong Estate  Sham Shui Po  Kowloon Telephone: 2323 0680 Fax: 2323 8480,-,<a href= /en/common/pdf/global-elements/estate-locator/WingCheongEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Wing Cheong,1500,3500,1500
Choi Yuen Estate,North,New Territories,22.50167,114.12579,Public Rental Housing,1982,Old Slab  Triple H,6,Choi Chu House Choi Lai House Choi Ping House Choi Wu House Choi Yuk House Choi Wah House,5 100 As at 30.6.2025,23.1 - 67.5,Formed,Tai Po  North & Shatin District Tenancy Management Office (5) No 107  G/F  Tin Yee House  Tin Ping Estate  Sheung Shui  N.T. Telephone: 2677 2002 Fax: 2677 9009,Creative Property Services Consultants Ltd. G/F  Choi Ping House  Choi Yuen Estate  Sheung Shui Telephone: 2672 6927 Fax: 2668 4040,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/choiyuenestate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities</a>,Choi Yuen,5100,11400,5000
Tai Ping Estate,North,New Territories,22.49797,114.12668,Tenants Purchase Scheme,1989,Linear 1,4,Ping Chi House Ping Ching House Ping Hay House Ping Yee House,100 * As at 30.6.2025,Gross Floor Areas (sqm):46.1 - 73.7; Saleable Areas (sqm):33.2 - 53.1,Not applicable (Owners' Corporation Formed),Tai Po  North & Shatin District Tenancy Management Office (5) No 107  G/F  Tin Yee House  Tin Ping Estate  Sheung Shui  N.T. Telephone: 2677 2002 Fax: 2677 9009   Tai Ping Estate Tenants Service Management Office Creative Property Services Consultants Ltd. Unit 111-112  G/F  Ping Hay House  Tai Ping Estate  Sheung Shui  N.T. Telephone: 2668 0528 Fax: 2668 4040,Appointed by Owners' Corporation,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only,Tai Ping,100,200,100
